ID,TIME,AMT,ADDL,II,DV,MDV,CMT,DOSE,IVPO,SEX,GROUP,DAY,TAD,FOOD,STUDY,ORIID
19,0,50 ,27,24,0,1,1,50 ,2,1,2,1,0,2,2,2001
19,0,NA,NA,NA,0,0,2,50 ,2,1,2,1,0,2,2,2001
19,0.5,NA,NA,NA,8790,0,2,50 ,2,1,2,1,0.5,2,2,2001
19,1,NA,NA,NA,5920,0,2,50 ,2,1,2,1,1,2,2,2001
19,2,NA,NA,NA,2520,0,2,50 ,2,1,2,1,2,2,2,2001
19,4,NA,NA,NA,2100,0,2,50 ,2,1,2,1,4,2,2,2001
19,8,NA,NA,NA,286,0,2,50 ,2,1,2,1,8,2,2,2001
19,24,NA,NA,NA,16.5,0,2,50 ,2,1,2,1,24,2,2,2001
19,648,NA,NA,NA,181,0,2,50 ,2,1,2,28,0,2,2,2001
19,648.5,NA,NA,NA,15500,0,2,50 ,2,1,2,28,0.5,2,2,2001
19,649,NA,NA,NA,16900,0,2,50 ,2,1,2,28,1,2,2,2001
19,650,NA,NA,NA,7840,0,2,50 ,2,1,2,28,2,2,2,2001
19,652,NA,NA,NA,3150,0,2,50 ,2,1,2,28,4,2,2,2001
19,656,NA,NA,NA,3160,0,2,50 ,2,1,2,28,8,2,2,2001
19,672,NA,NA,NA,48,0,2,50 ,2,1,2,28,24,2,2,2001
20,0,50 ,27,24,0,1,1,50 ,2,1,2,1,0,2,2,2002
20,0,NA,NA,NA,0,0,2,50 ,2,1,2,1,0,2,2,2002
20,0.5,NA,NA,NA,4680,0,2,50 ,2,1,2,1,0.5,2,2,2002
20,1,NA,NA,NA,3170,0,2,50 ,2,1,2,1,1,2,2,2002
20,2,NA,NA,NA,3420,0,2,50 ,2,1,2,1,2,2,2,2002
20,4,NA,NA,NA,4440,0,2,50 ,2,1,2,1,4,2,2,2002
20,8,NA,NA,NA,472,0,2,50 ,2,1,2,1,8,2,2,2002
20,24,NA,NA,NA,0,0,2,50 ,2,1,2,1,24,2,2,2002
20,648,NA,NA,NA,28.1,0,2,50 ,2,1,2,28,0,2,2,2002
20,648.5,NA,NA,NA,16300,0,2,50 ,2,1,2,28,0.5,2,2,2002
20,649,NA,NA,NA,16600,0,2,50 ,2,1,2,28,1,2,2,2002
20,650,NA,NA,NA,9570,0,2,50 ,2,1,2,28,2,2,2,2002
20,652,NA,NA,NA,14200,0,2,50 ,2,1,2,28,4,2,2,2002
20,656,NA,NA,NA,9350,0,2,50 ,2,1,2,28,8,2,2,2002
20,672,NA,NA,NA,51.6,0,2,50 ,2,1,2,28,24,2,2,2002
21,0,50 ,27,24,0,1,1,50 ,2,1,2,1,0,2,2,2003
21,0,NA,NA,NA,0,0,2,50 ,2,1,2,1,0,2,2,2003
21,0.5,NA,NA,NA,14200,0,2,50 ,2,1,2,1,0.5,2,2,2003
21,1,NA,NA,NA,19100,0,2,50 ,2,1,2,1,1,2,2,2003
21,2,NA,NA,NA,7880,0,2,50 ,2,1,2,1,2,2,2,2003
21,4,NA,NA,NA,4880,0,2,50 ,2,1,2,1,4,2,2,2003
21,8,NA,NA,NA,826,0,2,50 ,2,1,2,1,8,2,2,2003
21,24,NA,NA,NA,0,0,2,50 ,2,1,2,1,24,2,2,2003
21,648,NA,NA,NA,29,0,2,50 ,2,1,2,28,0,2,2,2003
21,648.5,NA,NA,NA,22400,0,2,50 ,2,1,2,28,0.5,2,2,2003
21,649,NA,NA,NA,29700,0,2,50 ,2,1,2,28,1,2,2,2003
21,650,NA,NA,NA,17000,0,2,50 ,2,1,2,28,2,2,2,2003
21,652,NA,NA,NA,8660,0,2,50 ,2,1,2,28,4,2,2,2003
21,656,NA,NA,NA,2910,0,2,50 ,2,1,2,28,8,2,2,2003
21,672,NA,NA,NA,31,0,2,50 ,2,1,2,28,24,2,2,2003
22,0,50 ,27,24,0,1,1,50 ,2,0,2,1,0,2,2,2501
22,0,NA,NA,NA,0,0,2,50 ,2,0,2,1,0,2,2,2501
22,0.5,NA,NA,NA,2070,0,2,50 ,2,0,2,1,0.5,2,2,2501
22,1,NA,NA,NA,3720,0,2,50 ,2,0,2,1,1,2,2,2501
22,2,NA,NA,NA,2530,0,2,50 ,2,0,2,1,2,2,2,2501
22,4,NA,NA,NA,1250,0,2,50 ,2,0,2,1,4,2,2,2501
22,8,NA,NA,NA,149,0,2,50 ,2,0,2,1,8,2,2,2501
22,24,NA,NA,NA,0,0,2,50 ,2,0,2,1,24,2,2,2501
22,648,NA,NA,NA,0,0,2,50 ,2,0,2,28,0,2,2,2501
22,648.5,NA,NA,NA,8270,0,2,50 ,2,0,2,28,0.5,2,2,2501
22,649,NA,NA,NA,5310,0,2,50 ,2,0,2,28,1,2,2,2501
22,650,NA,NA,NA,4460,0,2,50 ,2,0,2,28,2,2,2,2501
22,652,NA,NA,NA,2120,0,2,50 ,2,0,2,28,4,2,2,2501
22,656,NA,NA,NA,559,0,2,50 ,2,0,2,28,8,2,2,2501
22,672,NA,NA,NA,0,0,2,50 ,2,0,2,28,24,2,2,2501
23,0,50 ,27,24,0,1,1,50 ,2,0,2,1,0,2,2,2502
23,0,NA,NA,NA,0,0,2,50 ,2,0,2,1,0,2,2,2502
23,0.5,NA,NA,NA,4670,0,2,50 ,2,0,2,1,0.5,2,2,2502
23,1,NA,NA,NA,10900,0,2,50 ,2,0,2,1,1,2,2,2502
23,2,NA,NA,NA,2630,0,2,50 ,2,0,2,1,2,2,2,2502
23,4,NA,NA,NA,1250,0,2,50 ,2,0,2,1,4,2,2,2502
23,8,NA,NA,NA,322,0,2,50 ,2,0,2,1,8,2,2,2502
23,24,NA,NA,NA,0,0,2,50 ,2,0,2,1,24,2,2,2502
23,648,NA,NA,NA,20.2,0,2,50 ,2,0,2,28,0,2,2,2502
23,648.5,NA,NA,NA,13700,0,2,50 ,2,0,2,28,0.5,2,2,2502
23,649,NA,NA,NA,9650,0,2,50 ,2,0,2,28,1,2,2,2502
23,650,NA,NA,NA,3200,0,2,50 ,2,0,2,28,2,2,2,2502
23,652,NA,NA,NA,2340,0,2,50 ,2,0,2,28,4,2,2,2502
23,656,NA,NA,NA,515,0,2,50 ,2,0,2,28,8,2,2,2502
23,672,NA,NA,NA,0,0,2,50 ,2,0,2,28,24,2,2,2502
24,0,50 ,27,24,0,1,1,50 ,2,0,2,1,0,2,2,2503
24,0,NA,NA,NA,0,0,2,50 ,2,0,2,1,0,2,2,2503
24,0.5,NA,NA,NA,13500,0,2,50 ,2,0,2,1,0.5,2,2,2503
24,1,NA,NA,NA,15000,0,2,50 ,2,0,2,1,1,2,2,2503
24,2,NA,NA,NA,5890,0,2,50 ,2,0,2,1,2,2,2,2503
24,4,NA,NA,NA,2200,0,2,50 ,2,0,2,1,4,2,2,2503
24,8,NA,NA,NA,846,0,2,50 ,2,0,2,1,8,2,2,2503
24,24,NA,NA,NA,17.4,0,2,50 ,2,0,2,1,24,2,2,2503
24,648,NA,NA,NA,0,0,2,50 ,2,0,2,28,0,2,2,2503
24,648.5,NA,NA,NA,15000,0,2,50 ,2,0,2,28,0.5,2,2,2503
24,649,NA,NA,NA,10400,0,2,50 ,2,0,2,28,1,2,2,2503
24,650,NA,NA,NA,9920,0,2,50 ,2,0,2,28,2,2,2,2503
24,652,NA,NA,NA,3760,0,2,50 ,2,0,2,28,4,2,2,2503
