ID,TIME,AMT,ADDL,II,DV,MDV,CMT,DOSE,IVPO,SEX,GROUP,FOOD,DAY,TAD,STUDY,ORIID
1,0,3,NA,NA,NA,1,2,3,1,1,"G1",2,1,0,"
OCT-598",M1
1,0.083,NA,NA,NA,5381.64,0,2,3,1,1,"G1",2,1,0.083,"
OCT-598",M1
1,0.25,NA,NA,NA,1664.38,0,2,3,1,1,"G1",2,1,0.25,"
OCT-598",M1
1,0.5,NA,NA,NA,426.48,0,2,3,1,1,"G1",2,1,0.5,"
OCT-598",M1
1,1,NA,NA,NA,68.07,0,2,3,1,1,"G1",2,1,1,"
OCT-598",M1
1,2,NA,NA,NA,4.8,0,2,3,1,1,"G1",2,1,2,"
OCT-598",M1
1,4,NA,NA,NA,0.76,0,2,3,1,1,"G1",2,1,4,"
OCT-598",M1
1,8,NA,NA,NA,0.55,0,2,3,1,1,"G1",2,1,8,"
OCT-598",M1
1,24,NA,NA,NA,0.34,0,2,3,1,1,"G1",2,1,24,"
OCT-598",M1
2,0,3,NA,NA,NA,1,2,3,1,1,"G1",2,1,0,"
OCT-598",M2
2,0.083,NA,NA,NA,6287.27,0,2,3,1,1,"G1",2,1,0.083,"
OCT-598",M2
2,0.25,NA,NA,NA,2000.81,0,2,3,1,1,"G1",2,1,0.25,"
OCT-598",M2
2,0.5,NA,NA,NA,658.25,0,2,3,1,1,"G1",2,1,0.5,"
OCT-598",M2
2,1,NA,NA,NA,105.66,0,2,3,1,1,"G1",2,1,1,"
OCT-598",M2
2,2,NA,NA,NA,12.31,0,2,3,1,1,"G1",2,1,2,"
OCT-598",M2
2,4,NA,NA,NA,2.34,0,2,3,1,1,"G1",2,1,4,"
OCT-598",M2
2,8,NA,NA,NA,1.34,0,2,3,1,1,"G1",2,1,8,"
OCT-598",M2
2,24,NA,NA,NA,1.64,0,2,3,1,1,"G1",2,1,24,"
OCT-598",M2
3,0,3,NA,NA,NA,1,2,3,1,1,"G1",2,1,0,"
OCT-598",M3
3,0.083,NA,NA,NA,5982.49,0,2,3,1,1,"G1",2,1,0.083,"
OCT-598",M3
