"ID","TIME","AMT","ADDL","II","DV","MDV","CMT","DOSE","IVPO","SEX","GROUP","DAY","TAD","FOOD","STUDY","ORIID"
1,0,3,,,".",1,2,3,1,1,1,1,0,2,1,"M1"
1,0,,,,"0",0,2,3,1,1,1,1,0,2,1,"M1"
1,0.083,,,,"5381.64",0,2,3,1,1,1,1,0.083,2,1,"M1"
1,0.25,,,,"1664.38",0,2,3,1,1,1,1,0.25,2,1,"M1"
1,0.5,,,,"426.48",0,2,3,1,1,1,1,0.5,2,1,"M1"
1,1,,,,"68.07",0,2,3,1,1,1,1,1,2,1,"M1"
1,2,,,,"4.8",0,2,3,1,1,1,1,2,2,1,"M1"
1,4,,,,"0.76",0,2,3,1,1,1,1,4,2,1,"M1"
1,8,,,,"0.55",0,2,3,1,1,1,1,8,2,1,"M1"
1,24,,,,"0.34",0,2,3,1,1,1,1,24,2,1,"M1"
2,0,3,,,".",1,2,3,1,1,1,1,0,2,1,"M2"
2,0,,,,"0",0,2,3,1,1,1,1,0,2,1,"M2"
2,0.083,,,,"6287.27",0,2,3,1,1,1,1,0.083,2,1,"M2"
2,0.25,,,,"2000.81",0,2,3,1,1,1,1,0.25,2,1,"M2"
2,0.5,,,,"658.25",0,2,3,1,1,1,1,0.5,2,1,"M2"
2,1,,,,"105.66",0,2,3,1,1,1,1,1,2,1,"M2"
2,2,,,,"12.31",0,2,3,1,1,1,1,2,2,1,"M2"
2,4,,,,"2.34",0,2,3,1,1,1,1,4,2,1,"M2"
2,8,,,,"1.34",0,2,3,1,1,1,1,8,2,1,"M2"
2,24,,,,"1.64",0,2,3,1,1,1,1,24,2,1,"M2"
3,0,3,,,".",1,2,3,1,1,1,1,0,2,1,"M3"
3,0,,,,"0",0,2,3,1,1,1,1,0,2,1,"M3"
3,0.083,,,,"5982.49",0,2,3,1,1,1,1,0.083,2,1,"M3"
3,0.25,,,,"2419.81",0,2,3,1,1,1,1,0.25,2,1,"M3"
3,0.5,,,,"773.18",0,2,3,1,1,1,1,0.5,2,1,"M3"
3,1,,,,"191.25",0,2,3,1,1,1,1,1,2,1,"M3"
3,2,,,,"16.3",0,2,3,1,1,1,1,2,2,1,"M3"
3,4,,,,"5.97",0,2,3,1,1,1,1,4,2,1,"M3"
3,8,,,,"1.09",0,2,3,1,1,1,1,8,2,1,"M3"
3,24,,,,".",1,2,3,1,1,1,1,24,2,1,"M3"
4,0,3,,,".",1,1,3,2,1,2,1,0,1,1,"M4"
4,0,,,,"0",0,2,3,2,1,2,1,0,1,1,"M4"
4,0.5,,,,"533.13",0,2,3,2,1,2,1,0.5,1,1,"M4"
4,1,,,,"102.88",0,2,3,2,1,2,1,1,1,1,"M4"
4,2,,,,"13.9",0,2,3,2,1,2,1,2,1,1,"M4"
4,4,,,,"8.64",0,2,3,2,1,2,1,4,1,1,"M4"
4,8,,,,"6.21",0,2,3,2,1,2,1,8,1,1,"M4"
4,12,,,,"0.39",0,2,3,2,1,2,1,12,1,1,"M4"
4,24,,,,".",1,2,3,2,1,2,1,24,1,1,"M4"
5,0,3,,,".",1,1,3,2,1,2,1,0,1,1,"M5"
5,0,,,,"0",0,2,3,2,1,2,1,0,1,1,"M5"
5,0.5,,,,"1284.02",0,2,3,2,1,2,1,0.5,1,1,"M5"
5,1,,,,"335.73",0,2,3,2,1,2,1,1,1,1,"M5"
5,2,,,,"32.52",0,2,3,2,1,2,1,2,1,1,"M5"
5,4,,,,"64.23",0,2,3,2,1,2,1,4,1,1,"M5"
5,8,,,,"12.5",0,2,3,2,1,2,1,8,1,1,"M5"
5,12,,,,"3.59",0,2,3,2,1,2,1,12,1,1,"M5"
5,24,,,,"0.2",0,2,3,2,1,2,1,24,1,1,"M5"
6,0,3,,,".",1,1,3,2,1,2,1,0,1,1,"M6"
6,0,,,,"0",0,2,3,2,1,2,1,0,1,1,"M6"
6,0.5,,,,"843.8",0,2,3,2,1,2,1,0.5,1,1,"M6"
6,1,,,,"367.88",0,2,3,2,1,2,1,1,1,1,"M6"
6,2,,,,"42.43",0,2,3,2,1,2,1,2,1,1,"M6"
6,4,,,,"16.17",0,2,3,2,1,2,1,4,1,1,"M6"
6,8,,,,"4.9",0,2,3,2,1,2,1,8,1,1,"M6"
6,12,,,,"1.32",0,2,3,2,1,2,1,12,1,1,"M6"
6,24,,,,".",1,2,3,2,1,2,1,24,1,1,"M6"
7,0,10,,,".",1,1,10,2,0,3,1,0,1,1,"F7"
7,0,,,,"0",0,2,10,2,0,3,1,0,1,1,"F7"
7,0.5,,,,"5073.5",0,2,10,2,0,3,1,0.5,1,1,"F7"
7,1,,,,"1338.01",0,2,10,2,0,3,1,1,1,1,"F7"
7,2,,,,"100",0,2,10,2,0,3,1,2,1,1,"F7"
7,4,,,,"45.53",0,2,10,2,0,3,1,4,1,1,"F7"
7,8,,,,"4.66",0,2,10,2,0,3,1,8,1,1,"F7"
7,12,,,,"0.77",0,2,10,2,0,3,1,12,1,1,"F7"
7,24,,,,".",1,2,10,2,0,3,1,24,1,1,"F7"
8,0,10,,,".",1,1,10,2,0,3,1,0,1,1,"F8"
8,0,,,,"0",0,2,10,2,0,3,1,0,1,1,"F8"
8,0.5,,,,"4341.02",0,2,10,2,0,3,1,0.5,1,1,"F8"
8,1,,,,"867.43",0,2,10,2,0,3,1,1,1,1,"F8"
8,2,,,,"91.59",0,2,10,2,0,3,1,2,1,1,"F8"
8,4,,,,"16.36",0,2,10,2,0,3,1,4,1,1,"F8"
8,8,,,,"15.07",0,2,10,2,0,3,1,8,1,1,"F8"
8,12,,,,"2.85",0,2,10,2,0,3,1,12,1,1,"F8"
8,24,,,,"0.28",0,2,10,2,0,3,1,24,1,1,"F8"
9,0,10,,,".",1,1,10,2,0,3,1,0,1,1,"F9"
9,0,,,,"0",0,2,10,2,0,3,1,0,1,1,"F9"
9,0.5,,,,"5120.09",0,2,10,2,0,3,1,0.5,1,1,"F9"
9,1,,,,"789.1",0,2,10,2,0,3,1,1,1,1,"F9"
9,2,,,,"55.7",0,2,10,2,0,3,1,2,1,1,"F9"
