"ID","TIME","AMT","DV","MDV","CMT","DOSE","IVPO","SEX","DAY","TAD","STUDY","ORIID"
"1",0,20,".",1,1,20,2,1,1,0,1,"20C02037"
"1",0,,"0",0,2,20,2,1,1,0,1,"20C02037"
"1",0.5,,"870",0,2,20,2,1,1,0.5,1,"20C02037"
"1",1,,"980",0,2,20,2,1,1,1,1,"20C02037"
"1",2,,"3320",0,2,20,2,1,1,2,1,"20C02037"
"1",4,,"725",0,2,20,2,1,1,4,1,"20C02037"
"1",8,,"315",0,2,20,2,1,1,8,1,"20C02037"
"1",24,,"45.5",0,2,20,2,1,1,24,1,"20C02037"
"2",0,20,".",1,1,20,2,1,1,0,1,"20C04031"
"2",0,,"0",0,2,20,2,1,1,0,1,"20C04031"
"2",0.5,,"4850",0,2,20,2,1,1,0.5,1,"20C04031"
"2",1,,"4430",0,2,20,2,1,1,1,1,"20C04031"
"2",2,,"1050",0,2,20,2,1,1,2,1,"20C04031"
"2",4,,"518",0,2,20,2,1,1,4,1,"20C04031"
"2",8,,"286",0,2,20,2,1,1,8,1,"20C04031"
"2",24,,"31.5",0,2,20,2,1,1,24,1,"20C04031"
"3",0,20,".",1,1,20,2,1,1,0,1,"20C04045"
"3",0,,"0",0,2,20,2,1,1,0,1,"20C04045"
"3",0.5,,"8440",0,2,20,2,1,1,0.5,1,"20C04045"
"3",1,,"4250",0,2,20,2,1,1,1,1,"20C04045"
"3",2,,"1860",0,2,20,2,1,1,2,1,"20C04045"
"3",4,,"876",0,2,20,2,1,1,4,1,"20C04045"
"3",8,,"405",0,2,20,2,1,1,8,1,"20C04045"
"3",24,,"52.6",0,2,20,2,1,1,24,1,"20C04045"
"4",0,3,".",1,2,3,1,1,1,0,2,"20C05001"
"4",0.083,,"7850",0,2,3,1,1,1,0.083,2,"20C05001"
"4",0.25,,"4790",0,2,3,1,1,1,0.25,2,"20C05001"
"4",0.5,,"2380",0,2,3,1,1,1,0.5,2,"20C05001"
"4",1,,"862",0,2,3,1,1,1,1,2,"20C05001"
"4",2,,"220",0,2,3,1,1,1,2,2,"20C05001"
"4",4,,"50.5",0,2,3,1,1,1,4,2,"20C05001"
"4",8,,"22.1",0,2,3,1,1,1,8,2,"20C05001"
"4",24,,"10.1",0,2,3,1,1,1,24,2,"20C05001"
"5",0,3,".",1,2,3,1,1,1,0,2,"20C05043"
"5",0.083,,"5750",0,2,3,1,1,1,0.083,2,"20C05043"
"5",0.25,,"3550",0,2,3,1,1,1,0.25,2,"20C05043"
"5",0.5,,"1610",0,2,3,1,1,1,0.5,2,"20C05043"
"5",1,,"472",0,2,3,1,1,1,1,2,"20C05043"
"5",2,,"112",0,2,3,1,1,1,2,2,"20C05043"
"5",4,,"41.1",0,2,3,1,1,1,4,2,"20C05043"
"5",8,,"27.7",0,2,3,1,1,1,8,2,"20C05043"
"5",24,,"10.7",0,2,3,1,1,1,24,2,"20C05043"
"6",0,3,".",1,2,3,1,1,1,0,2,"20C05093"
"6",0.083,,"6670",0,2,3,1,1,1,0.083,2,"20C05093"
"6",0.25,,"3140",0,2,3,1,1,1,0.25,2,"20C05093"
"6",0.5,,"1630",0,2,3,1,1,1,0.5,2,"20C05093"
"6",1,,"495",0,2,3,1,1,1,1,2,"20C05093"
"6",2,,"94.7",0,2,3,1,1,1,2,2,"20C05093"
"6",4,,"22.8",0,2,3,1,1,1,4,2,"20C05093"
"6",8,,"7.46",0,2,3,1,1,1,8,2,"20C05093"
"6",24,,"1.01",0,2,3,1,1,1,24,2,"20C05093"

