,,,,,,,,,,,,,,,,최종 ,초회,1차 재분석,2차 재분석,3차 재분석,4차 재분석,,,,,,
,,,,,,,,,,,,,,장기중량,시료 희석배수,최종희석배수,시료희석,시료희석,시료희석,시료희석,시료희석,,,,,,
,Animal ID,"Sampling
point","Analysis
name",Tissue,Side,Signal,,,,"Conc.
(ng/mL)","Dilution
factor","Final Conc.
(ng/mL)",,"Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor",검체 ID,,,,,
,,,,,,1,2,Mean,CV%,,,,,,,,,,,,,,,,,,
,1101,D113,Reanalysis 2,Retina,Left,1118 ,1127 ,1123 ,0.6 ,44 ,43 ,"1,861 ",,9 ,5 ,43 ,1 ,,,,,M001,,,234,39,39
,,,Reanalysis 2,,Right,970 ,942 ,956 ,2.1 ,36 ,33 ,"1,194 ",,7 ,5 ,33 ,1 ,,,,,M002,,,,39,39
,,,Reanalysis 2,Vitreous,Left,804 ,815 ,810 ,1.0 ,30 ,50 ,"1,498 ",,1 ,50 ,50 ,1 ,,,,,M019,,,,39,39
,,,Reanalysis 2,,Right,713 ,696 ,705 ,1.7 ,25 ,50 ,"1,271 ",,1 ,50 ,50 ,1 ,,,,,M020,,,,117,117
,,,Assay 2,Choroid,Left,757 ,774 ,766 ,1.6 ,39 ,18 ,722 ,,18 ,1 ,18 ,1 ,,,,,M037,,,,,
,,,Assay 2,,Right,281 ,279 ,280 ,0.5 ,11 ,22 ,258 ,,22 ,1 ,22 ,1 ,,,,,M038,,,,,
,,,Reanalysis 2,Optic nerve,Left,1186 ,1200 ,1193 ,0.8 ,47 ,72 ,"3,380 ",,14 ,5 ,72 ,1 ,,,,,M055,,,,,
,,,Assay 2,,Right,2224 ,2246 ,2235 ,0.7 ,126 ,12 ,"1,498 ",,12 ,1 ,12 ,1 ,,,,,M056,,,,,
,,,Reanalysis 3,Iris,Left,822 ,818 ,820 ,0.3 ,27 ,6 ,157 ,,6 ,1 ,6 ,1 ,,,,,M073,,,,,
,,,Reanalysis 3,,Right,360 ,368 ,364 ,1.6 ,10 ,7 ,64 ,,7 ,1 ,7 ,1 ,,,,,M074,,,,,
,,,Reanalysis 4,Aqueous,Left,476 ,463 ,470 ,2.0 ,16 ,5 ,81 ,,1 ,5 ,5 ,1 ,,,,,M091,,,,,
,,,Reanalysis 6,,Right,1103 ,1082 ,1093 ,1.4 ,42 ,5 ,211 ,,1 ,5 ,5 ,1 ,,,,,M092,,,,,
,,,Assay 4,Serum,-,121 ,124 ,123 ,1.7 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M109,,,,,
,1102,D113,Assay 1,Retina,Left,1625 ,1470 ,1548 ,7.1 ,74 ,6 ,461 ,,6 ,1 ,6 ,1 ,,,,,M003,,,,,
,,,Assay 1,,Right,1912 ,1938 ,1925 ,1.0 ,94 ,10 ,977 ,,10 ,1 ,10 ,1 ,,,,,M004,,,,,
,,,Assay 1,Vitreous,Left,84 ,80 ,82 ,3.4 ,0 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M021,,,,,
,,,Assay 1,,Right,114 ,94 ,104 ,13.6 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M022,,,,,
,,,Assay 2,Choroid,Left,76 ,72 ,74 ,3.8 ,-,27 ,BQL,,27 ,1 ,27 ,1 ,,,,,M039,,,,,
