Aqueous homor,,,,,,,,,,,
Group,Sampling date,Animal ID,Left,,,,,Right,,,
,,,Dilution factor,,Measured,Final,,Dilution factor,,Measured,Final
,,,Study,Organ,concentration,concentration,,Study,Organ,concentration,concentration
,,,samples,weights,(ng/mL),(ng/mL),,samples,weights,(ng/mL),(ng/mL)
G1,Day 1,1101,1,1,2.13,BQL,,1,1,1.75,BQL
,,1102,1,1,3.11,BQL,,1,1,3.59,BQL
,,1103,1,1,3.14,BQL,,1,1,3.02,BQL
G2,Day 15,1201,1,1,4.03,BQL,,1,1,3.45,BQL
,,1202,1,1,2.83,BQL,,1,1,5.92,5.92
,Day 29,1203,1,1,32.8,32.8,,1,1,24,24
,,1204,1,1,36.8,36.8,,1,1,23.7,23.7
,,1205,1,1,18.3,18.3,,1,1,32.1,32.1
,Day 43,1206,1,1,76.4,76.4,,1,1,67.9,67.9
,,1207,1,1,23,23,,1,1,50.6,50.6
,Day 57,1208,1,1,86.4,86.4,,1,1,85.6,85.6
,,1209,1,1,31.5,31.5,,1,1,79.3,79.3
,,1210,1,1,85,85,,1,1,79.6,79.6
G3,Day 15,1301,1,1,11,11,,1,1,17.2,17.2
,,1302,1,1,21.4,21.4,,1,1,21.1,21.1
,Day 29,1303,1,1,25,25,,1,1,22.9,22.9
,,1304,1,1,42.7,42.7,,1,1,44.3,44.3
,,1305,1,1,54.2,54.2,,1,1,45.5,45.5
,Day 43,1306,5,1,38.2,191,,1,1,191,191
,,1307,10,1,27.4,274,,20,1,24.6,492
,Day 57,1308,1,1,65.1,65.1,,10,1,24.9,249
,,1309,1,1,168,168,,1,1,161,161
,,1310,10,1,16.3,163,,5,1,26.7,134
G4,Day 15,1401,1,1,134,134,,1,1,30.3,30.3
,,1402,1,1,104,104,,1,1,142,142
,Day 29,1403,1,1,123,123,,5,1,26.8,134
,,1404,1,1,4.23,BQL,,1,1,4.35,BQL
,,1405,1,1,47.5,47.5,,1,1,36.2,36.2
,Day 43,1406,1,1,-,BQL,,1,1,3.87,BQL
,,1407,10,1,32.1,321,,20,1,23.9,478
,Day 57,1408,10,1,21.4,214,,5,1,106,532
,,1409,10,1,72.2,722,,10,1,81.3,813
,,1410,10,1,96.9,969,,20,1,88.5,"1,770"
Mean concentration (ng/mL): Study samples dilution factor  × Organ weights dilution factor × Measured concentration,,,,,,,,,,,
BQL: Below the quantification limit (< 5 ng/mL),,,,,,,,,,,
- : Not calculated,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Aqueous homor,,,,,,,,,,,
Group,Sampling date,Animal ID,Left,,,,,Right,,,
,,,Dilution factor,,Measured,Final,,Dilution factor,,Measured,Final
,,,Study,Organ,concentration,concentration,,Study,Organ,concentration,concentration
,,,samples,weights,(ng/mL),(ng/mL),,samples,weights,(ng/mL),(ng/mL)
G5,Day 15,1501,1,1,129,129,,1,1,102,102
,,1502,1,1,179,179,,1,1,130,130
,Day 29,1503,10,1,32.9,329,,1,1,129,129
,,1504,1,1,138,138,,5,1,45,225
,,1505,1,1,129,129,,10,1,76.6,766
,Day 43,1506,1,1,2.9,BQL,,1,1,1.16,BQL
,,1507,10,1,37.5,375,,1,1,-,BQL
,Day 57,1508,10,1,47,470,,10,1,90,900
,,1509,1,1,3.28,BQL,,1,1,2.8,BQL
,,1510,10,1,79.7,797,,10,1,84.2,842
G6,Day 15,1601,1,1,60.5,60.5,,20,1,43.7,874
,,1602,10,1,33.5,335,,10,1,46.9,469
,Day 29,1603,10,1,50.4,504,,10,1,36.6,366
,,1604,10,1,45.4,454,,10,1,71.8,718
,,1605,1,1,63.4,63.4,,1,1,7.52,7.52
,Day 43,1606,10,1,40.8,408,,50,1,19.6,981
,,1607,10,1,38.1,381,,10,1,31.7,317
,Day 57,1608,1,1,2.09,BQL,,1,1,2.26,BQL
,,1609,20,1,85.5,"1,710",,20,1,76.7,"1,534"
,,1610,5,1,93.7,469,,1,1,190,190
G7,Day 15,1701,50,1,92.2,"4,609",,50,1,68.4,"3,420"
,,1702,10,1,76.5,765,,10,1,25.4,254
,Day 29,1703,10,1,37.1,371,,10,1,47.1,471
,,1704,10,1,73.2,732,,10,1,58.9,589
,,1705,1,1,187,187,,5,1,51.6,258
,Day 43,1706,20,1,71.9,"1,437",,20,1,74.7,"1,494"
,,1707,1,1,5.48,5.48,,1,1,23.8,23.8
,Day 57,1708,10,1,71.8,718,,10,1,70.2,702
,,1709,10,1,94.4,944,,10,1,94.4,944
,,1710,1,1,2.01,BQL,,1,1,2.43,BQL
Mean concentration (ng/mL): Study samples dilution factor  × Organ weights dilution factor × Measured concentration,,,,,,,,,,,
BQL: Below the quantification limit (< 5 ng/mL),,,,,,,,,,,
- : Not calculated,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Aqueous homor,,,,,,,,,,,
Group,Sampling date,Animal ID,Left,,,,,Right,,,
,,,Dilution factor,,Measured,Final,,Dilution factor,,Measured,Final
,,,Study,Organ,concentration,concentration,,Study,Organ,concentration,concentration
,,,samples,weights,(ng/mL),(ng/mL),,samples,weights,(ng/mL),(ng/mL)
G8,Day 15,1801,1,1,-,BQL,,1,1,0.621,BQL
,,1802,50,1,141,"7,035",,50,1,57.8,"2,892"
,Day 29,1803,1,1,3.61,BQL,,1,1,4.24,BQL
,,1804,10,1,96.8,968,,20,1,73.9,"1,477"
,,1805,1,1,166,166,,10,1,37.5,375
,Day 57,1808,1,1,1.2,BQL,,1,1,0.287,BQL
,,1809,1,1,1.08,BQL,,1,1,-,BQL
,,1810,1,1,1.04,BQL,,1,1,0.684,BQL
G9,Day 15,1901,1,1,60.4,60.4,,1,1,97.2,97.2
,,1902,10,1,53.7,537,,10,1,42.9,429
,Day 29,1903,10,1,58.2,582,,1,1,116,116
,,1904,5,1,47.2,236,,5,1,44.6,223
,,1905,10,1,34.1,341,,10,1,41.8,418
,Day 43,1906,10,1,80.6,806,,10,1,59.1,591
,,1907,10,1,67.2,672,,10,1,47.6,476
,Day 57,1908,1,1,1.08,BQL,,1,1,2.74,BQL
,,1909,5,1,34.3,171,,5,1,86.9,435
,,1910,1,1,169,169,,10,1,105,"1,051"
G10,Day 15,1A01,20,1,65.8,"1,316",,40,1,69.6,"2,784"
,,1A02,40,1,58.5,"2,341",,40,1,68.8,"2,753"
,Day 29,1A03,10,1,77.6,776,,5,1,66.7,334
,,1A04,10,1,64.2,642,,10,1,37.7,377
,,1A05,1,1,-,BQL,,1,1,4.21,BQL
,Day 43,1A06,1,1,49,49,,1,1,101,101
,,1A07,1,1,58.2,58.2,,1,1,54.9,54.9
,Day 57,1A08,1,1,12.3,12.3,,1,1,9.28,9.28
,,1A09,1,1,10.1,10.1,,1,1,9.32,9.32
